Checkpoint,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
144000,0.8205128205128205,0.95,0.0,0.9107142857142857,0.9333333333333333,0.6,0.03278688524590164,1.0,0.6666666666666666,0.9230769230769231,0.9253731343283582,0.9464285714285714,0.9855072463768116,0.6818181818181818,0.9333333333333333,1.0,0.6666666666666666,1.0,0.0,0.875,0.3333333333333333,0.5,0.9523809523809523,0.7777777777777778,1.0,0.8082191780821918,0.25,0.2,0.8333333333333334,0.02857142857142857,0.0,0.6428571428571429,0.9459459459459459,0.8383838383838383,0.8604651162790697,0.0,1.0,1.0,0.0,1.0,0.9148936170212766,0.8571428571428571,0.9782608695652174,0.8571428571428571,0.8372093023255814,1.0
145000,0.8461538461538461,0.95,0.125,0.8392857142857143,1.0,1.0,0.4098360655737705,1.0,0.7777777777777778,1.0,1.0,0.9642857142857143,1.0,0.8181818181818182,0.9888888888888889,1.0,1.0,1.0,0.0,0.875,0.35714285714285715,0.5,0.9523809523809523,1.0,1.0,0.8904109589041096,0.625,0.8,0.8333333333333334,0.4857142857142857,0.20833333333333334,0.8571428571428571,0.972972972972973,0.8484848484848485,0.9302325581395349,0.0,1.0,1.0,0.6,1.0,0.9787234042553191,1.0,0.9891304347826086,0.8571428571428571,0.9418604651162791,1.0
146000,0.8974358974358975,0.95,0.125,0.9821428571428571,1.0,1.0,0.8032786885245902,1.0,0.8888888888888888,1.0,0.9402985074626866,0.9642857142857143,1.0,0.8636363636363636,0.9444444444444444,1.0,1.0,1.0,0.0,1.0,0.5952380952380952,1.0,1.0,1.0,1.0,0.9726027397260274,0.625,0.8,0.8333333333333334,0.7714285714285715,0.8958333333333334,0.9285714285714286,0.972972972972973,0.9494949494949495,0.9302325581395349,0.0,1.0,1.0,0.6,1.0,0.9574468085106383,1.0,0.9891304347826086,0.8571428571428571,1.0,1.0
147000,0.7948717948717948,0.925,0.0,0.8392857142857143,0.8666666666666667,0.8,0.11475409836065574,1.0,0.7777777777777778,0.9230769230769231,0.9253731343283582,0.9285714285714286,0.9710144927536232,0.7727272727272727,0.9,1.0,0.6666666666666666,1.0,0.0,1.0,0.14285714285714285,0.0,0.9047619047619048,0.8888888888888888,1.0,0.8356164383561644,0.25,0.6,0.6666666666666666,0.0,0.125,0.7857142857142857,0.9324324324324325,0.7474747474747475,0.8953488372093024,0.0,0.75,1.0,0.0,0.6666666666666666,0.8936170212765957,1.0,0.9891304347826086,0.8571428571428571,0.872093023255814,1.0
148000,0.7692307692307693,1.0,0.0,0.5178571428571429,0.8666666666666667,0.2,0.03278688524590164,1.0,0.7777777777777778,1.0,1.0,0.9464285714285714,1.0,0.5,0.9333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,0.023809523809523808,0.0,0.9047619047619048,0.6666666666666666,1.0,0.7397260273972602,0.0,0.6,0.3333333333333333,0.0,0.1875,0.6428571428571429,1.0,0.5555555555555556,0.9186046511627907,0.14285714285714285,0.5,1.0,0.0,0.8333333333333334,0.8085106382978723,0.8571428571428571,0.9891304347826086,0.7142857142857143,0.5581395348837209,1.0
149000,0.7692307692307693,0.45,0.0,0.19642857142857142,0.6,0.2,0.0,1.0,0.5555555555555556,0.8461538461538461,0.8208955223880597,0.9107142857142857,1.0,0.6363636363636364,0.8777777777777778,0.3333333333333333,0.16666666666666666,1.0,0.0,0.75,0.0,0.0,0.9523809523809523,0.0,0.0,0.726027397260274,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.9324324324324325,0.2222222222222222,0.872093023255814,0.0,0.25,0.0,0.0,0.5,0.44680851063829785,0.8571428571428571,0.9782608695652174,0.7142857142857143,0.22093023255813954,1.0
150000,0.8717948717948718,0.875,0.375,0.35714285714285715,0.8666666666666667,0.6,0.6885245901639344,0.8333333333333334,0.7777777777777778,1.0,0.8955223880597015,0.9285714285714286,1.0,0.8181818181818182,0.9333333333333333,0.6666666666666666,1.0,1.0,0.0,1.0,0.6428571428571429,0.0,0.9523809523809523,0.8888888888888888,1.0,0.8904109589041096,0.0,0.6,0.3333333333333333,0.37142857142857144,0.4166666666666667,0.42857142857142855,0.9324324324324325,0.9292929292929293,0.9069767441860465,0.0,0.75,1.0,0.8,1.0,0.8723404255319149,1.0,0.9891304347826086,0.8571428571428571,0.9883720930232558,1.0
151000,0.8461538461538461,0.95,0.0,0.42857142857142855,0.8666666666666667,0.8,0.2459016393442623,1.0,0.7777777777777778,1.0,1.0,0.9642857142857143,1.0,0.8181818181818182,0.9222222222222223,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.047619047619047616,0.0,0.9047619047619048,0.6666666666666666,1.0,0.8493150684931506,0.5,0.6,0.3333333333333333,0.14285714285714285,0.3958333333333333,0.21428571428571427,0.9459459459459459,0.6868686868686869,0.9069767441860465,0.0,1.0,1.0,1.0,1.0,0.8723404255319149,0.8571428571428571,0.9782608695652174,0.8571428571428571,0.5813953488372093,1.0
152000,0.8461538461538461,0.95,0.0,0.9107142857142857,1.0,1.0,0.14754098360655737,1.0,0.8888888888888888,1.0,0.9253731343283582,0.9285714285714286,1.0,0.8636363636363636,0.9222222222222223,1.0,1.0,1.0,0.1111111111111111,1.0,0.47619047619047616,1.0,0.9523809523809523,1.0,1.0,0.9041095890410958,0.625,1.0,0.8333333333333334,0.6,0.9166666666666666,0.9285714285714286,0.9459459459459459,0.9090909090909091,0.9069767441860465,0.14285714285714285,1.0,1.0,1.0,0.8333333333333334,0.9361702127659575,1.0,0.9891304347826086,0.8571428571428571,0.9883720930232558,1.0
153000,0.7692307692307693,0.875,0.0,0.35714285714285715,1.0,1.0,0.4262295081967213,1.0,0.7777777777777778,1.0,0.9253731343283582,0.9285714285714286,1.0,0.7272727272727273,0.9555555555555556,1.0,1.0,1.0,0.1111111111111111,1.0,0.09523809523809523,0.5,0.9523809523809523,0.7777777777777778,0.5,0.8082191780821918,0.25,0.8,0.5,0.08571428571428572,0.5833333333333334,0.7142857142857143,0.972972972972973,0.6666666666666666,0.9186046511627907,0.0,0.75,1.0,0.0,0.6666666666666666,0.851063829787234,1.0,0.9891304347826086,0.8571428571428571,0.9767441860465116,1.0
