Checkpoint,reciprocal_police,substance_police
188000,0.68,0.45011600928074247
189000,0.6581818181818182,0.3294663573085847
190000,0.6672727272727272,0.35498839907192575
191000,0.6763636363636364,0.29698375870069604
192000,0.6436363636363637,0.3248259860788863
193000,0.6872727272727273,0.3294663573085847
194000,0.6618181818181819,0.33410672853828305
195000,0.6745454545454546,0.37354988399071926
196000,0.6818181818181818,0.3225058004640371
197000,0.6927272727272727,0.35266821345707655
198000,0.6854545454545454,0.3851508120649652
199000,0.6363636363636364,0.26450116009280744
200000,0.6581818181818182,0.3619489559164733
201000,0.6709090909090909,0.35266821345707655
202000,0.6872727272727273,0.41067285382830626
203000,0.6727272727272727,0.3642691415313225
204000,0.6672727272727272,0.4037122969837587
205000,0.6872727272727273,0.40835266821345706
206000,0.6509090909090909,0.32018561484918795
207000,0.6563636363636364,0.27842227378190254
208000,0.6672727272727272,0.37122969837587005
209000,0.6781818181818182,0.39675174013921116
210000,0.6727272727272727,0.38979118329466356
211000,0.6381818181818182,0.308584686774942
212000,0.6563636363636364,0.345707656612529
213000,0.6836363636363636,0.3271461716937355
214000,0.6690909090909091,0.35730858468677495
215000,0.6781818181818182,0.35962877030162416
216000,0.6672727272727272,0.3805104408352668
217000,0.6618181818181819,0.38979118329466356
218000,0.6581818181818182,0.29930394431554525
219000,0.6636363636363637,0.32018561484918795
220000,0.6909090909090909,0.39443155452436196
221000,0.6709090909090909,0.3248259860788863
222000,0.649090909090909,0.34106728538283065
223000,0.6545454545454545,0.3109048723897912
224000,0.6545454545454545,0.4361948955916473
225000,0.6636363636363637,0.3271461716937355
226000,0.6545454545454545,0.25986078886310904
227000,0.6690909090909091,0.31322505800464034
228000,0.649090909090909,0.31322505800464034
229000,0.6836363636363636,0.35498839907192575
230000,0.6472727272727272,0.2482598607888631
231000,0.6472727272727272,0.26218097447795824
232000,0.64,0.28074245939675174
233000,0.6381818181818182,0.26450116009280744
234000,0.6436363636363637,0.29466357308584684
235000,0.6654545454545454,0.271461716937355
236000,0.6290909090909091,0.26218097447795824
237000,0.6618181818181819,0.25754060324825984
238000,0.649090909090909,0.2668213457076566
239000,0.6672727272727272,0.3619489559164733
240000,0.6636363636363637,0.39211136890951276
241000,0.6654545454545454,0.3642691415313225
242000,0.6327272727272727,0.2737819025522042
243000,0.6472727272727272,0.29930394431554525
244000,0.6745454545454546,0.3689095127610209
245000,0.6436363636363637,0.25754060324825984
246000,0.66,0.3225058004640371
247000,0.649090909090909,0.2529002320185615
248000,0.6690909090909091,0.29466357308584684
249000,0.6763636363636364,0.3480278422273782
250000,0.6454545454545455,0.32018561484918795
251000,0.6690909090909091,0.345707656612529
252000,0.6672727272727272,0.33642691415313225
253000,0.6618181818181819,0.31786542923433875
254000,0.649090909090909,0.2691415313225058
255000,0.6290909090909091,0.2853828306264501
256000,0.6290909090909091,0.2529002320185615
257000,0.6381818181818182,0.33178654292343385
258000,0.6509090909090909,0.33178654292343385
259000,0.6545454545454545,0.33178654292343385
260000,0.6545454545454545,0.34106728538283065
261000,0.6290909090909091,0.29930394431554525
262000,0.6254545454545455,0.3109048723897912
263000,0.6672727272727272,0.3433874709976798
264000,0.610909090909091,0.22273781902552203
265000,0.610909090909091,0.2900232018561485
266000,0.6163636363636363,0.2529002320185615
267000,0.6563636363636364,0.33178654292343385
268000,0.6545454545454545,0.31322505800464034
269000,0.66,0.2853828306264501
270000,0.6418181818181818,0.31322505800464034
271000,0.6363636363636364,0.2923433874709977
272000,0.6381818181818182,0.31322505800464034
273000,0.6418181818181818,0.29930394431554525
274000,0.6472727272727272,0.2482598607888631
275000,0.6254545454545455,0.29930394431554525
276000,0.6672727272727272,0.28074245939675174
277000,0.6327272727272727,0.29698375870069604
278000,0.6545454545454545,0.3062645011600928
279000,0.6527272727272727,0.27610208816705334
280000,0.6236363636363637,0.26218097447795824
281000,0.6654545454545454,0.3271461716937355
282000,0.6636363636363637,0.33410672853828305
283000,0.6327272727272727,0.2923433874709977
284000,0.6309090909090909,0.271461716937355
285000,0.6618181818181819,0.31786542923433875
286000,0.6363636363636364,0.31322505800464034
287000,0.6290909090909091,0.2668213457076566
288000,0.6581818181818182,0.2668213457076566
289000,0.6309090909090909,0.25986078886310904
290000,0.6309090909090909,0.27842227378190254
291000,0.6563636363636364,0.2900232018561485
292000,0.6436363636363637,0.33178654292343385
293000,0.649090909090909,0.2296983758700696
294000,0.649090909090909,0.2877030162412993
295000,0.6363636363636364,0.2853828306264501
296000,0.6327272727272727,0.29698375870069604
297000,0.66,0.35498839907192575
298000,0.649090909090909,0.2923433874709977
299000,0.66,0.3248259860788863
300000,0.6418181818181818,0.31554524361948955
301000,0.6563636363636364,0.3619489559164733
302000,0.6381818181818182,0.25754060324825984
303000,0.6290909090909091,0.25754060324825984
304000,0.6545454545454545,0.28306264501160094
305000,0.6272727272727273,0.2529002320185615
306000,0.6272727272727273,0.2691415313225058
307000,0.64,0.271461716937355
308000,0.6472727272727272,0.28074245939675174
309000,0.6290909090909091,0.27610208816705334
310000,0.6145454545454545,0.24129930394431554
311000,0.6472727272727272,0.2900232018561485
312000,0.6290909090909091,0.2552204176334107
313000,0.6436363636363637,0.27610208816705334
314000,0.6454545454545455,0.2737819025522042
315000,0.6454545454545455,0.2668213457076566
316000,0.6327272727272727,0.22273781902552203
317000,0.6436363636363637,0.2877030162412993
318000,0.6254545454545455,0.2877030162412993
319000,0.6436363636363637,0.29466357308584684
320000,0.6327272727272727,0.2900232018561485
321000,0.6163636363636363,0.29698375870069604
322000,0.6309090909090909,0.35266821345707655
323000,0.6327272727272727,0.271461716937355
324000,0.6163636363636363,0.2296983758700696
325000,0.6454545454545455,0.29930394431554525
326000,0.6363636363636364,0.29698375870069604
327000,0.6545454545454545,0.28306264501160094
328000,0.6381818181818182,0.23897911832946636
329000,0.6327272727272727,0.24361948955916474
330000,0.6436363636363637,0.2529002320185615
331000,0.610909090909091,0.31554524361948955
332000,0.6527272727272727,0.3062645011600928
333000,0.64,0.26218097447795824
334000,0.62,0.2459396751740139
335000,0.6090909090909091,0.27610208816705334
336000,0.62,0.2691415313225058
337000,0.6272727272727273,0.2900232018561485
338000,0.6272727272727273,0.28074245939675174
339000,0.6436363636363637,0.3271461716937355
340000,0.6090909090909091,0.271461716937355
341000,0.6345454545454545,0.2923433874709977
342000,0.6345454545454545,0.28074245939675174
343000,0.6381818181818182,0.2853828306264501
344000,0.6309090909090909,0.25986078886310904
345000,0.6381818181818182,0.32018561484918795
346000,0.62,0.2900232018561485
347000,0.6272727272727273,0.25754060324825984
348000,0.6309090909090909,0.2737819025522042
349000,0.62,0.2668213457076566
350000,0.6236363636363637,0.26450116009280744
351000,0.62,0.2529002320185615
352000,0.6363636363636364,0.26218097447795824
353000,0.6181818181818182,0.25986078886310904
354000,0.6272727272727273,0.24129930394431554
355000,0.62,0.26450116009280744
356000,0.6272727272727273,0.26450116009280744
357000,0.6527272727272727,0.29466357308584684
358000,0.6254545454545455,0.2552204176334107
359000,0.62,0.2737819025522042
360000,0.6327272727272727,0.25754060324825984
361000,0.6272727272727273,0.29466357308584684
362000,0.6236363636363637,0.2459396751740139
363000,0.6418181818181818,0.25986078886310904
364000,0.6290909090909091,0.2691415313225058
365000,0.62,0.25986078886310904
366000,0.6290909090909091,0.25754060324825984
367000,0.6418181818181818,0.3039443155452436
368000,0.6290909090909091,0.2668213457076566
369000,0.6345454545454545,0.2691415313225058
370000,0.6290909090909091,0.2877030162412993
371000,0.6290909090909091,0.2853828306264501
372000,0.62,0.271461716937355
373000,0.6272727272727273,0.2737819025522042
374000,0.6381818181818182,0.3062645011600928
375000,0.6218181818181818,0.27842227378190254
376000,0.6363636363636364,0.29466357308584684
377000,0.6527272727272727,0.2923433874709977
378000,0.6236363636363637,0.2923433874709977
379000,0.6290909090909091,0.2691415313225058
380000,0.6345454545454545,0.271461716937355
381000,0.62,0.2529002320185615
382000,0.6345454545454545,0.2900232018561485
383000,0.6327272727272727,0.2853828306264501
384000,0.6454545454545455,0.31786542923433875
385000,0.6309090909090909,0.2505800464037123
386000,0.6381818181818182,0.3062645011600928
387000,0.6290909090909091,0.28074245939675174
388000,0.6345454545454545,0.26218097447795824
389000,0.6309090909090909,0.271461716937355
390000,0.6254545454545455,0.23897911832946636
391000,0.6309090909090909,0.27610208816705334
392000,0.6363636363636364,0.271461716937355
393000,0.6181818181818182,0.2552204176334107
394000,0.6290909090909091,0.24129930394431554
395000,0.6254545454545455,0.26450116009280744
396000,0.6290909090909091,0.26218097447795824
397000,0.6254545454545455,0.25754060324825984
398000,0.6272727272727273,0.25986078886310904
399000,0.6272727272727273,0.25754060324825984
400000,0.6254545454545455,0.2552204176334107
