Checkpoint	Ditransitives	Motion	Ditransitive/Motion
16200	0.39536653448643694	0.34425504165421517	0.13133429422368254
16300	0.4081545277714033	0.36398275742640074	0.1161963450494566
16400	0.3931373080097374	0.3278159214407153	0.13286351431659274
16500	0.39598258977142564	0.3266210838967533	0.13252534650361195
16600	0.39396223209376285	0.352928117476863	0.12905058667545724
16700	0.39997312150662845	0.3265355434301375	0.13172328177492432
16800	0.40653192632248014	0.3236341409827217	0.12156979755583452
16900	0.40864056971029206	0.3369986463393845	0.13972972161624644
17000	0.3944249155543927	0.3404547575166351	0.11600118693153724
17100	0.4038325245418978	0.3231457486594062	0.12689131836668263
17200	0.4024694414338438	0.3370730660017043	0.1298873953006278
17300	0.4118161973859185	0.33256554766835156	0.11786250286773582
17400	0.40227236309071424	0.3347945935145393	0.1421214652198437
17500	0.3856605720298176	0.32833883858019924	0.12486750530849683
17600	0.4047783261918843	0.338192863572106	0.11699776877033598
17700	0.4213493707493069	0.34481040771704113	0.12299396081953881
17800	0.3910737169202375	0.33879035386501855	0.12132386025900771
17900	0.39815998165562866	0.346830641275594	0.12645639606965056
18000	0.4022681386023879	0.3442566008924729	0.13349306391636911
18100	0.41002951705293245	0.3405626923764673	0.13411740035769742
18200	0.42299792134870445	0.3237065096943923	0.11448469105623192
18300	0.4195108255827313	0.33688826414740697	0.12628317328735592
18400	0.40790142580387373	0.34068916329356913	0.12059604674479087
18500	0.4099828934563479	0.37155304060276784	0.13198174323150505
18600	0.42129373504956363	0.34946380161612445	0.12742242528543704
18700	0.38739980865443724	0.34251959828746936	0.12790646262648572
18800	0.4151951896042776	0.3502526526752527	0.12411623034844553
18900	0.40040693044650627	0.32884734534797666	0.11858207720731012
19000	0.3816148819374994	0.334669455392657	0.12323009015034003
19100	0.38512207976824087	0.31700070911917505	0.12732656329322214
19200	0.3866925662271737	0.32459503571404263	0.11276523807507899
19300	0.39822240359121236	0.3354521231400889	0.1331838157763968
19400	0.38545793962376684	0.30193941909407546	0.11244331982645867
19500	0.38489675071865403	0.3186488099593286	0.1204088276720404
19600	0.390588868823648	0.32322816065163396	0.12361970748510437
19700	0.40795711374910315	0.3541376858349401	0.13457875594593496
19800	0.41307458147251497	0.3462537903434801	0.12824632259415636
19900	0.4024174031903958	0.34838731267399553	0.12715940625862618
20000	0.38129594091061325	0.32701316661153	0.1265023705482021
21000	0.3883222107167686	0.33306165194205006	0.110755745192319
22000	0.39551331955423147	0.3238058008438445	0.1149779475575771
23000	0.3842394755570969	0.3369609689583509	0.12788072813184875
24000	0.3803148543284016	0.3485503488678598	0.11620129822400464
25000	0.400529613901931	0.36375927058162477	0.12802217608061092
26000	0.4160251265526116	0.33542965382749396	0.13081322980238275
27000	0.39550599953194054	0.34650280367820635	0.13000388565790372
28000	0.41018753319849804	0.3373910627392986	0.12798084831597684
29000	0.3975367503577401	0.34239706215608845	0.13587548401349345
30000	0.3741727522995334	0.31026503466492794	0.10798069338930022
31000	0.3921558119706756	0.32852947544336325	0.12507689908823982
32000	0.38501630238979556	0.3237091843644195	0.12577141774506992
33000	0.4007838009833008	0.333662260025839	0.1408222838676969
34000	0.3939517491555983	0.33073539328467444	0.11835491061713573
35000	0.38745548439578337	0.34057798743307394	0.12262600550607033
36000	0.37881106215214083	0.3339866876812335	0.12070756606948119
37000	0.3972245012379299	0.35796040281648994	0.12478874429672478
38000	0.40627808982614294	0.3451475052361729	0.11538112799200499
39000	0.3947110774100447	0.3214407137277904	0.13042901373132118
40000	0.39671356924428036	0.321515708658258	0.11605179751094909
41000	0.3991483782477945	0.34186287668455667	0.1245998356565238
42000	0.3657117902238573	0.32502404363255194	0.1192523207313435
43000	0.36578853850014664	0.32236082595060617	0.11815326918667919
44000	0.383549295503144	0.29917165609609664	0.11489784942622719
45000	0.37790627407599026	0.3187013597689834	0.11338355925903008
46000	0.38469498954200465	0.30348998312363445	0.11573451744886794
47000	0.3512707779226028	0.31028954227941596	0.09996552650712415
48000	0.3801172745743965	0.31137961186137675	0.11247912181485864
49000	0.37737850560965336	0.32260400893851787	0.11803541986566915
50000	0.37499152983367195	0.32644707638580756	0.11046840672970995
51000	0.3790511556719753	0.3070882512603318	0.11257432442041788
52000	0.37303014177941185	0.2919897571259654	0.11440595196139407
53000	0.388758915571002	0.31276869869275115	0.11406198143485605
54000	0.3903356382785074	0.32039002143126083	0.12108003974538706
55000	0.35345615431939637	0.31507202727053085	0.10961841681792499
56000	0.38792005327002593	0.2974341255977259	0.11053177487001088
57000	0.3805515097264062	0.3036640950529813	0.10708300070503111
58000	0.3761196959746116	0.28954875148702913	0.10936845673306163
59000	0.38024366382697045	0.3077759141896521	0.1150551084214388
60000	0.3832995451326161	0.3225438570257313	0.11701158614310404
61000	0.37324455580108784	0.31864242294867406	0.11683878449690625
62000	0.39014137093855367	0.3184733584986031	0.11753449003241001
63000	0.36884850287956245	0.3048606370948623	0.10371067576769437
64000	0.38258655457036894	0.3248973589043207	0.11846304804957335
65000	0.38081267695007276	0.32534537185827345	0.10473849213217452
66000	0.37658334400278626	0.29751112326680024	0.10630054832722993
67000	0.38540378727357644	0.3157646657325805	0.10513158789352683
68000	0.3850404866935077	0.32175767246818765	0.11746618185135142
69000	0.3813378309908945	0.32135052080121745	0.12141584833646138
70000	0.37948294483162054	0.3377488222650559	0.12422167566569338
71000	0.3729208497431829	0.29503208583097174	0.10711175052660654
72000	0.398275379134298	0.31822123070146147	0.13149175399838028
73000	0.36196761304037023	0.3044256816420481	0.10661756222866413
74000	0.35021559491503085	0.3113584185042765	0.11403553995467741
75000	0.3744715836267687	0.3164157905594317	0.108701014504747
76000	0.3851943220610433	0.33464879157550953	0.12046820674870244
77000	0.3730618970967155	0.2985322548145946	0.10678120627953862
78000	0.3673848822400278	0.30143815959617243	0.11522783965020912
79000	0.349031051005799	0.302629559176265	0.10148466952398195
80000	0.3560413051016859	0.3158130310369868	0.1098859890182168
81000	0.3661351074218759	0.32263803196022656	0.1176834438455867
82000	0.36265390748960574	0.3156964403095014	0.10856151388830762
83000	0.35966504753562567	0.3060824270530168	0.11022823945465308
84000	0.3794313471677288	0.3235064858557629	0.10802113395581897
85000	0.3696472488454933	0.30119499571550906	0.10221209845975303
86000	0.3752063840290094	0.28251405545096303	0.10155617208857498
87000	0.3555525812694026	0.3065347775442267	0.09567350900499495
